nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,      x-velocity,      y-velocity,concentration-c2h5oh
       120, 3.599719286E+00, 2.027551383E-01, 4.999999702E-01,-2.235802561E-01, 3.103050590E-02, 2.275040778E-08
       121, 3.799840689E+00, 2.027576417E-01, 5.000000000E-01,-2.527077198E-01, 3.120455332E-02, 3.355160150E-09
       122, 2.999992847E+00, 2.027615905E-01, 5.000000000E-01,-1.298992485E-01, 1.852504909E-02, 6.976370059E-06
       123, 5.999696732E+00, 2.027861476E-01, 5.000000000E-01,-4.482181668E-01, 9.821616113E-03, 2.387193332E-09
       124, 7.000424862E+00, 2.027889788E-01, 5.000000000E-01,-4.757296741E-01, 4.616338294E-03, 1.462677091E-09
       125, 4.200187683E+00, 2.027940601E-01, 5.000000000E-01,-3.061029315E-01, 2.853539214E-02, 3.200551602E-09
       126, 7.400202274E+00, 2.028029412E-01, 5.000000000E-01,-4.819124043E-01, 3.472711192E-03, 1.124810356E-09
       127, 7.200422287E+00, 2.028040439E-01, 5.000000000E-01,-4.790624380E-01, 3.993801307E-03, 1.286187268E-09
       128, 2.800000906E+00, 2.028110921E-01, 5.000000000E-01,-1.060676128E-01, 1.083764341E-02, 1.249925481E-05
       129, 1.059985733E+01, 2.028164715E-01, 5.000000000E-01,-5.035160780E-01, 1.174903358E-03, 4.477699461E-11
       130, 2.600085497E+00, 2.028245926E-01, 5.000000000E-01,-9.015478194E-02, 5.994309206E-03, 1.656397217E-05
       131, 1.039995670E+01, 2.028244734E-01, 5.000000000E-01,-5.024812818E-01, 1.133112935E-03, 5.683869000E-11
       132, 7.599919796E+00, 2.028292269E-01, 5.000000000E-01,-4.843863845E-01, 3.033641726E-03, 9.702417758E-10
       133, 4.400397301E+00, 2.028416991E-01, 5.000000000E-01,-3.299212754E-01, 2.646207809E-02, 3.195296694E-09
       134, 1.099979687E+01, 2.028595060E-01, 5.000000000E-01,-5.057867765E-01, 1.287191641E-03, 2.757814116E-11
       135, 1.019998837E+01, 2.028603107E-01, 5.000000000E-01,-5.014781952E-01, 1.119086635E-03, 7.283067899E-11
       136, 5.799862862E+00, 2.028625607E-01, 5.000000000E-01,-4.395702779E-01, 1.138790697E-02, 2.578372404E-09
       137, 7.799719334E+00, 2.028799057E-01, 5.000000000E-01,-4.865433276E-01, 2.665882697E-03, 8.351180303E-10
       138, 4.600432873E+00, 2.028872222E-01, 5.000000000E-01,-3.517450094E-01, 2.417242527E-02, 3.168083351E-09
       139, 4.800360203E+00, 2.029141188E-01, 5.000000000E-01,-3.713925481E-01, 2.180461213E-02, 3.122932801E-09
       140, 9.999958992E+00, 2.029207200E-01, 5.000000000E-01,-5.005026460E-01, 1.121563138E-03, 9.276285295E-11
       141, 5.000062466E+00, 2.029259205E-01, 5.000000000E-01,-3.888519108E-01, 1.946268417E-02, 3.077846422E-09
       142, 5.599845886E+00, 2.029326409E-01, 5.000000000E-01,-4.294776022E-01, 1.314947754E-02, 2.752320150E-09
       143, 5.199934959E+00, 2.029354125E-01, 5.000000000E-01,-4.043040276E-01, 1.720815524E-02, 2.977848856E-09
       144, 5.399816990E+00, 2.029446959E-01, 5.000000000E-01,-4.177849293E-01, 1.509454381E-02, 2.876536565E-09
       145, 8.600478172E+00, 2.029445767E-01, 5.000000000E-01,-4.930157661E-01, 1.699174521E-03, 4.185893021E-10
       146, 7.999738693E+00, 2.029453963E-01, 5.000000000E-01,-4.884674549E-01, 2.353775548E-03, 7.052489148E-10
       147, 9.199665070E+00, 2.029519975E-01, 5.000000000E-01,-4.965072870E-01, 1.322960248E-03, 2.290551637E-10
       148, 9.799859047E+00, 2.029771507E-01, 5.000000000E-01,-4.995329976E-01, 1.144759590E-03, 1.177311998E-10
       149, 8.200062752E+00, 2.029886693E-01, 5.000000000E-01,-4.901563525E-01, 2.094547963E-03, 5.975558937E-10
       150, 8.400313377E+00, 2.029948086E-01, 5.000000000E-01,-4.916562438E-01, 1.880494878E-03, 5.040973194E-10
       151, 9.399713516E+00, 2.029963583E-01, 5.000000000E-01,-4.975483119E-01, 1.245207852E-03, 1.851243603E-10
       152, 9.599782944E+00, 2.030055672E-01, 5.000000000E-01,-4.985564053E-01, 1.183703309E-03, 1.476009176E-10
       153, 1.299278831E+01, 3.882989585E-01, 5.000000000E-01,-5.240265727E-01,-3.693726379E-03, 3.461452479E-12
       154, 1.319386387E+01, 3.895782232E-01, 4.999999702E-01,-5.219733119E-01,-5.352281965E-03, 9.137820708E-13
       155, 1.279362679E+01, 3.899632096E-01, 5.000000000E-01,-5.251567364E-01,-2.123477636E-03, 9.760719143E-12
       156, 1.339651299E+01, 3.930082023E-01, 5.000000000E-01,-5.190136433E-01,-6.825677119E-03, 2.074482621E-13
       157, 1.259559822E+01, 3.939190209E-01, 5.000000000E-01,-5.255008936E-01,-7.919508498E-04, 2.301144865E-11
       158, 6.004679799E-01, 3.942567706E-01, 5.000000000E-01, 3.112873062E-02, 1.213058736E-02, 1.746115777E-05
